Job_Title,Queried_Salary,Job_Type,No_of_Skills,Company,No_of_Reviews,No_of_Stars,Date_Since_Posted,Location,Company_Revenue,Company_Employees,Company_Industry,python,sql,machine learning,r,hadoop,tableau,sas,spark,java,Others,Revenue_low,Revenue_high
Data Analysis & Machine Learning Postdoctoral Researcher,<80000,data_scientist,5,Lawrence Livermore National Laboratory,111.0,4.300000190734863,2.0,CA,$1B to $5B (USD),"Less than 10,000",Government,1,0,1,0,0,0,0,0,0,1,$1B , $5B (USD)
Applied Machine Learning Scientist - Digital Imaging,<80000,data_scientist,8,Adobe,484.0,4.300000190734863,30.0,CA,$5B to $10B (USD),"10,000+",Internet and Software,0,0,1,0,0,0,0,0,0,1,$5B , $10B (USD)
"Google AI Resident, 2019 Start (Fixed-Term Employee)",<80000,data_scientist,0,Google,2641.0,4.300000190734863,21.0,CA,More than $10B (USD),"10,000+",Internet and Software,0,0,0,0,0,0,0,0,0,0,More than $10B (USD),
Machine Learning Intern (Summer 2019),<80000,data_scientist,4,Splunk,30.0,4.300000190734863,30.0,CA,,"Less than 10,000",Internet and Software,0,0,1,0,0,0,0,0,0,1,,
Machine Learning,<80000,data_scientist,5,Twitter,63.0,3.9000000953674316,30.0,CA,$1B to $5B (USD),"Less than 10,000",Internet and Software,0,0,1,0,1,0,0,1,0,1,$1B , $5B (USD)
Temporary Content Developer - Machine Learning,<80000,data_scientist,3,iD Tech,39.0,4.5,1.0,CA,,,,1,0,1,0,0,0,0,0,0,1,,
Machine Learning Researcher SAN FRANCISCOMEMBER OF TECHNICAL...,<80000,data_scientist,2,OpenAI,,,18.0,CA,,,,0,0,1,0,0,0,0,0,0,1,,
Data Scientist,80000-99999,data_scientist,0,University of California San Francisco,282.0,4.199999809265137,30.0,CA,,,Education and Schools,0,0,0,0,0,0,0,0,0,0,,
Data Scientist,80000-99999,data_scientist,6,Lawrence Berkeley National Laboratory,130.0,4.199999809265137,7.0,CA,,,Government,1,0,0,0,0,0,0,0,1,1,,
Intern - Data Scientist,80000-99999,data_scientist,5,Palo Alto Networks,56.0,4.099999904632568,30.0,CA,,"Less than 10,000",Internet and Software,0,0,1,0,1,0,0,1,0,1,,
Principal Deep Learning Data Scientist,80000-99999,data_scientist,2,Teradata,145.0,3.799999952316284,1.0,CA,$1B to $5B (USD),"10,000+",Internet and Software,0,0,1,0,0,0,0,0,0,1,$1B , $5B (USD)
Junior Data Scientist,80000-99999,data_scientist,6,Achievement Network (ANet),,,30.0,CA,,,,1,1,1,1,0,0,0,0,0,1,,
